JOB,	   GOG ADDR,	STEAM ADDR,	PCG ADDR,	NAME,						TYPE
define,    0x9C3508,	0x9E5D08,	0x9C34C8,	"p_bic_data",					"BIC *"
define,    0xA52E80,	0xA75680,	0xA52E40,	"p_units",					"Units *"
define,    0xA52DD4,	0xA755D0,	0xA52D94,	"p_tile_units",					"TileUnits *"
define,    0xA52E68,	0xA75668,	0xA52E28,	"p_cities",					"Cities *"
define,    0xA52E98,	0xA75698,	0xA52E58,	"leaders",					"Leader *"
define,    0x9F8700,	0xA1AF00,	0x9F86C0,	"p_main_screen_form",				"Main_Screen_Form *"
define,    0x665188,	0x68219C,	0x665188,	"ADDR_ADDR_OUTPUTDEBUGSTRINGA",			"void *"
define,    0x665280,	0x6822E0,	0x665280,	"ADDR_ADDR_GETASYNCKEYSTATE",			"void *"
define,    0x665168,	0x682130,	0x665168,	"ADDR_ADDR_GETPROCADDRESS",			"void *"
define,    0x6650E4,	0x6820B8,	0x6650E4,	"ADDR_ADDR_GETMODULEHANDLEA",			"void *"
define,    0x66527C,	0x6822E4,	0x66527C,	"ADDR_ADDR_MESSAGEBOXA",			"void *"
repl vptr, 0x73A8FC,	0x756C74,	0x73A8D4,	"init_floating_point",				"void (__stdcall *) (void)"
define,    0x5B6B01,	0x5C5458,	0x5B6811,	"ADDR_STEALTH_ATTACK_TARGET_COUNT_CHECK",	"void *"
define,    0x569503,	0x575933,	0x5694B3,	"ADDR_UNIT_COUNT_CHECK",			"void *"
define,    0x594B35,	0x5A2357,	0x594855,	"ADDR_ERA_COUNT_CHECK",				"void *"
define,    0x57F623,	0x58C352,	0x57F383,	"ADDR_SUB_BUG_PATCH",				"void *"
define,    0x5601EF,	0x56C2E3,	0x56019F,	"ADDR_SCIENCE_AGE_BUG_PATCH",			"void *"
define,    0x4CD0B1,	0x4D5151,	0x4CD171,	"ADDR_PEDIA_TEXTURE_BUG_PATCH",			"void *"
define,    0x5640AC,	0x570385,	0x56405C,	"ADDR_AUTORAZE_BYPASS",				"void *"
repl vptr, 0x66CB50,	0x689C3C,	0x66CB50,	"Leader_impl_would_raze_city",			"byte (__fastcall *) (Leader * this, int edx, City * city)"
repl vptr, 0x66B44C,	0x68854C,	0x66B44C,	"Main_Screen_Form_handle_left_click_on_map_1",	"void (__fastcall *) (Main_Screen_Form * this, int edx, int param_1, int param_2)"
define,    0x499FE0,	0x49F9F0,	0x49A070,	"is_online_game",				"char (__stdcall *) (void)"
define,    0x437A70,	0x439620,	0x437AF0,	"tile_at",					"Tile * (__cdecl *) (int x, int y)"
define,    0x426C80,	0x4283C0,	0x426D00,	"TileUnits_TileUnitID_to_UnitID",		"int (__fastcall *) (TileUnits * this, int edx, int tile_unit_id, int * out_UnitItem_field_0)"
inlead,    0x5C1410,	0x5CFFA0,	0x5C1120,	"Unit_bombard_tile",				"void (__fastcall *) (Unit * this, int edx, int x, int y)"
define,    0x5C0E20,	0x5CF9C0,	0x5C0B30,	"Unit_can_bombard_tile",			"void (__fastcall *) (Unit * this, int edx, int x, int y)"
define,    0x5BE820,	0x5CD420,	0x5BE530,	"Unit_get_defense_strength",			"int (__fastcall *) (Unit * this)"
define,    0x5BB650,	0x5CA190,	0x5BB360,	"Unit_is_visible_to_civ",			"char (__fastcall *) (Unit * this, int edx, int civ_id, int param_2)"
define,    0x5EA6C0,	0x5F9F10,	0x5EA5F0,	"Tile_has_city",				"char (__fastcall *) (Tile * this)"
define,    0x5BE5B0,	0x5CD180,	0x5BE2C0,	"Unit_get_max_hp",				"int (__fastcall *) (Unit * this)"
define,    0x5E4EF0,	0x5F4750,	0x5E4E20,	"UnitType_has_ability",				"char (__fastcall *) (UnitType * this, int edx, enum UnitTypeAbilities a)"
define,    0x5BE470,	0x5CD030,	0x5BE180,	"Unit_get_max_move_points",			"int (__fastcall *) (Unit * this)"
define,    0x60B370,	0x625850,	0x60B290,	"Button_set_tooltip",				"int (__fastcall *) (Button * this, int edx, char * str)"
define,    0x5FC420,	0x60FC10,	0x5FC300,	"PCX_Image_construct",				"PCX_Image * (__fastcall *) (PCX_Image * this)"
define,    0x5FC820,	0x610360,	0x5FC700,	"PCX_Image_read_file",				"int (__fastcall *) (PCX_Image * this, int edx, char * file_path, void * param_2, int param_3, int param_4, int param_5)"
define,    0x5F7E50,	0x608170,	0x5F7D80,	"Tile_Image_Info_construct",			"Tile_Image_Info * (__fastcall *) (Tile_Image_Info * this)"
define,    0x5F7F90,	0x6083D0,	0x5F7EC0,	"Tile_Image_Info_slice_pcx",			"int (__fastcall *) (Tile_Image_Info * this, int edx, PCX_Image * img, int up_left_x, int up_left_y, int w, int h, int arg6, int arg7)"
define,    0x49FC50,	0x4A6790,	0x49FCE0,	"get_popup_form",				"PopupForm * (__stdcall *) ()"
define,    0x61C5A0,	0x63E390,	0x61C4D0,	"set_popup_str_param",				"int (__cdecl *) (int param_index, char * str, int param_3, int param_4)"
define,    0x61C570,	0x63E350,	0x61C4A0,	"set_popup_int_param",				"int (__cdecl *) (int param_index, int value)"
inlead,    0x611530,	0x62DAF0,	0x611460,	"show_popup",					"int (__fastcall *) (void * this, int edx, int param_1, int param_2)"
define,    0x4ACD20,	0x4B3CC0,	0x4ACDB0,	"City_zoom_to",					"void (__fastcall *) (City *this, int edx, int param_1)"
define,    0x4ACB50,	0x4B3AF0,	0x4ACBE0,	"City_has_improvement",				"char (__fastcall *) (City * this, int edx, int i_improvement, char include_auto_improvements)"
inlead,    0x4E6DB0,	0x4EF820,	0x4E6E70,	"Main_Screen_Form_perform_action_on_tile",	"void (__fastcall *) (Main_Screen_Form * this, int edx, enum Unit_Mode_Actions action, int x, int y)"
inlead,    0x550BB0,	0x55BCE0,	0x550B60,	"Main_GUI_set_up_unit_command_buttons",		"void (__fastcall *) (Main_GUI * this)"
inlead,    0x5577F0,	0x563600,	0x5577A0,	"Main_GUI_handle_button_press",			"void (__fastcall *) (Main_GUI * this, int edx, int button_id)"
inlead,    0x4E05F0,	0x4E8F90,	0x4E06B0,	"Main_Screen_Form_handle_key_down",		"int (__fastcall *) (Main_Screen_Form * this, int edx, int char_code, int virtual_key_code)"
inlead,    0x6268A0,	0x64B410,	0x624C00,	"handle_cursor_change_in_jgl",			"int (__stdcall *) ()"
inlead,    0x555F80,	0x561B90,	0x555F30,	"Main_GUI_handle_click_in_status_panel",	"void (__fastcall *) (Main_GUI * this, int edx, int mouse_x, int mouse_y)"
define,    0x54CAD0,	0x557980,	0x54CB30,	"get_font",					"Object_66C3FC * (__cdecl *) (int size, FontStyleFlags style)"
define,    0x5FD750,	0x611850,	0x5FD630,	"PCX_Image_draw_centered_text",			"int (__fastcall *) (PCX_Image *this, int edx, Object_66C3FC * font, char * str, int x, int y, int width, int str_len)"
inlead,    0x4196F0,	0x41A5D0,	0x419770,	"City_Form_draw",				"void (__fastcall *) (City_Form * this)"
inlead,    0x41B4C0,	0x41C610,	0x41B540,	"City_Form_print_production_info",		"void (__fastcall *) (City_Form *this, int edx, String256 * out_strs, int str_capacity)"
define,    0x4ACD70,	0x4B3D30,	0x4ACE00,	"City_get_order_cost",				"int (__fastcall *) (City * this)"
define,    0x4ACD40,	0x4B3CE0,	0x4ACDD0,	"City_get_order_progress",			"int (__fastcall *) (City * this)"
inlead,    0x57F360,	0x58C080,	0x57F0C0,	"Trade_Net_get_movement_cost",			"int (__fastcall *) (Trade_Net * this, int edx, int from_x, int from_y, int to_x, int to_y, Unit * unit, int civ_id, unsigned param_7, int neighbor_index, int param_9)"
inlead,    0x591BB0,	0x59F1D0,	0x5918D0,	"do_save_game",					"int (__cdecl *) (char const * file_path, char param_2, GUID * guid)"
define,    0x4BCFF0,	0x4C4660,	0x4BD080,	"City_recompute_happiness",			"void (__fastcall *) (City * this)"
inlead,    0x55A560,	0x566470,	0x55A510,	"Leader_recompute_auto_improvements",		"void (__fastcall *) (Leader * this)"
inlead,    0x539030,	0x543650,	0x5390B0,	"get_wonder_city_id",				"int (__fastcall *) (void * this, int edx, int wonder_improvement_id)"
define,    0x55A62E,	0x566538,	0x55A5DE,	"ADDR_SMALL_WONDER_FREE_IMPROVS_RETURN",	"int"
define,    0x55A5C6,	0x5664D4,	0x55A576,	"ADDR_RECOMPUTE_AUTO_IMPROVS_FILTER",		"void *"
